nearest_university,listing_mode,gender_allowed,area_sqm,bedrooms,bathrooms,total_capacity,price,has_WiFi,has_AC,has_Elevator,has_Balcony,has_WashingMachine,has_NaturalGas
Cairo University,Bed,Female,25.8,1,1,2,884.7,0,0,0,0,1,1
Mansoura University,Bed,Male,142.5,1,1,2,3483.79,1,0,0,0,1,0
GUC,EntireUnit,Female,34.8,1,1,2,4109.64,1,0,1,1,1,1
Fayoum University,Bed,Male,133.0,2,2,4,1210.83,0,0,0,0,0,1
Tanta University,EntireUnit,Female,114.9,4,2,5,5265.9,0,0,0,0,1,0
Suez Canal University,Room,Female,190.3,4,2,7,2332.55,1,1,1,0,1,1
Alexandria University,EntireUnit,Female,109.6,3,2,6,7447.58,1,1,1,0,0,0
Alexandria University,Room,Male,120.2,1,1,2,8416.45,0,1,0,0,1,1
Benha University,EntireUnit,Female,98.2,2,1,3,4738.19,1,1,0,1,0,0
GUC,EntireUnit,Male,139.3,2,2,4,12442.52,1,0,0,1,0,0
Benha University,Room,Male,145.3,4,2,7,1470.25,0,0,1,0,0,0
Minia University,EntireUnit,Male,143.1,1,1,2,6961.49,0,1,0,1,1,1
Helwan University,Bed,Male,88.8,3,2,6,720.16,0,0,0,0,0,0
Suez Canal University,Room,Male,195.4,1,1,1,10052.93,1,1,1,1,0,0
Mansoura University,EntireUnit,Male,96.0,3,2,4,5628.21,1,0,1,1,1,1
Benha University,EntireUnit,Female,172.1,4,2,5,8911.97,1,1,1,1,1,1
GUC,Bed,Male,165.2,2,1,3,4934.04,0,0,1,1,1,1
Zagazig University,Room,Female,61.4,1,1,1,3525.48,0,1,1,1,0,1
Tanta University,Bed,Female,83.5,3,2,4,1266.77,1,1,1,1,1,1
Minia University,Room,Male,108.4,4,2,4,1405.77,1,1,1,0,0,1
Assiut University,EntireUnit,Male,195.2,1,1,1,6829.1,0,0,0,1,0,0
Zagazig University,Bed,Male,144.2,3,1,3,1820.34,0,0,1,0,0,0
Cairo University,EntireUnit,Female,178.8,3,1,3,11898.94,1,1,1,1,1,1
Zagazig University,EntireUnit,Female,86.9,2,2,4,4224.98,0,1,0,1,0,0
Benha University,Room,Female,176.9,1,1,2,7818.45,1,1,1,0,1,1
Assiut University,Room,Female,101.7,3,1,3,1299.44,0,0,0,0,1,0
Benha University,Bed,Male,158.9,2,2,4,1628.08,0,0,0,0,0,0
GUC,EntireUnit,Female,188.2,2,1,3,20008.65,1,1,1,1,1,1
Alexandria University,Room,Female,173.2,4,2,4,2569.96,0,0,0,0,0,0
GUC,Room,Female,193.5,4,2,8,4859.89,1,1,1,1,1,1
Fayoum University,Bed,Female,113.7,2,1,2,2620.64,0,1,1,1,1,0
Zagazig University,EntireUnit,Male,103.0,1,1,2,5194.78,1,1,1,0,0,0
Ain Shams University,Bed,Male,154.0,2,2,4,2024.72,1,0,0,0,0,1
Minia University,EntireUnit,Male,142.0,4,2,8,7292.93,1,1,1,0,0,1
GUC,Bed,Female,165.9,3,1,3,5195.44,1,1,1,1,1,1
Cairo University,EntireUnit,Male,150.1,3,2,4,11686.97,1,1,1,1,1,1
Tanta University,Room,Male,49.0,1,1,1,2420.37,0,0,1,1,0,0
Ain Shams University,Bed,Male,75.4,1,1,1,4100.7,0,0,0,1,0,0
AUC,Bed,Female,197.5,2,1,2,11095.98,1,0,1,0,0,0
Fayoum University,Bed,Male,149.5,3,1,3,1807.48,0,0,0,0,0,0
GUC,Room,Male,197.6,2,1,2,10130.28,1,0,0,1,0,0
Mansoura University,Bed,Male,103.7,4,2,7,765.0,1,0,0,0,1,1
Ain Shams University,Bed,Female,197.9,4,2,7,1729.77,1,0,0,0,0,0
Assiut University,EntireUnit,Female,145.1,2,2,4,7077.24,1,1,0,1,0,0
Mansoura University,Room,Female,193.9,4,2,4,2011.6,0,0,0,0,0,0
Alexandria University,EntireUnit,Female,133.8,4,2,7,8351.34,0,0,1,0,1,0
Ain Shams University,Bed,Female,178.6,4,2,7,1564.52,1,1,1,1,0,1
Fayoum University,Bed,Female,149.5,2,1,3,2002.36,0,0,0,0,0,0
AUC,Room,Female,100.8,2,2,4,5691.3,1,1,1,0,0,0
Assiut University,Room,Female,177.7,4,2,6,1682.13,0,0,0,1,1,0
Tanta University,Bed,Male,176.8,4,2,7,1286.22,1,1,1,1,1,1
Suez Canal University,Room,Female,50.6,1,1,2,3278.65,1,1,1,0,1,0
Mansoura University,Room,Male,79.2,3,1,3,1583.8,0,1,0,0,0,1
Zagazig University,Room,Male,192.1,1,1,2,8089.91,0,0,0,0,0,0
Tanta University,Bed,Male,195.3,1,1,1,10607.65,1,1,1,1,1,0
Zagazig University,Room,Male,115.5,4,2,7,1463.71,0,1,0,1,1,0
Fayoum University,Room,Male,62.4,2,1,2,1714.26,1,1,1,1,0,1
Cairo University,Room,Male,89.2,2,1,2,2531.52,0,0,0,0,0,0
AUC,Bed,Female,66.2,1,1,2,3347.23,0,0,0,1,0,0
Assiut University,EntireUnit,Female,104.8,4,2,5,4660.47,0,0,0,1,1,0
Mansoura University,Room,Male,61.1,2,1,2,2325.38,1,1,1,1,0,1
Zagazig University,Room,Male,187.5,3,2,5,2538.51,0,1,0,0,1,0
Minia University,EntireUnit,Female,144.3,4,2,7,4612.83,0,0,0,0,0,0
Assiut University,Bed,Female,117.8,3,1,3,1810.77,1,0,1,1,1,1
Fayoum University,Room,Female,90.1,3,1,3,1195.52,0,0,0,0,1,0
Alexandria University,EntireUnit,Female,189.2,2,1,2,10802.61,1,0,0,0,0,0
Tanta University,EntireUnit,Male,71.6,1,1,1,3300.53,1,0,0,1,1,1
Zagazig University,Room,Female,138.8,2,2,4,3048.65,0,1,1,1,0,0
Fayoum University,Room,Male,121.1,2,1,3,2223.94,0,0,0,0,0,0
Fayoum University,Bed,Male,194.2,3,2,5,1474.63,0,0,0,1,1,0
Ain Shams University,Bed,Male,115.1,3,1,3,2702.87,1,1,0,1,1,1
Assiut University,EntireUnit,Female,125.8,4,2,6,4972.26,1,0,0,0,1,0
Tanta University,EntireUnit,Male,121.4,1,1,2,6315.8,1,1,1,1,0,1
Ain Shams University,Bed,Male,73.7,2,2,4,1233.35,1,0,1,0,0,0
Fayoum University,Room,Male,116.8,2,1,2,2497.55,0,0,1,0,1,1
AUC,Room,Female,86.9,2,2,4,4968.72,0,1,0,0,1,0
Alexandria University,Room,Male,123.5,4,2,7,1976.6,0,0,0,0,0,0
Suez Canal University,EntireUnit,Male,186.2,3,2,4,8657.2,1,1,1,1,1,1
Minia University,Room,Male,127.3,2,1,3,2130.02,1,0,0,0,0,0
Zagazig University,Room,Female,106.4,4,2,4,1474.75,1,1,0,0,0,1
Cairo University,EntireUnit,Male,174.9,4,2,6,11068.24,1,0,1,1,1,0
GUC,EntireUnit,Female,73.9,2,1,3,7513.0,0,0,0,1,1,0
Cairo University,EntireUnit,Male,188.8,4,2,6,11824.25,1,1,1,1,1,1
Cairo University,Bed,Male,185.0,4,2,5,2544.92,1,0,1,0,0,1
Mansoura University,Room,Male,147.8,3,1,3,2430.55,0,0,0,0,1,1
Fayoum University,Room,Male,186.0,3,2,4,2623.86,1,1,1,1,1,1
Cairo University,EntireUnit,Male,113.9,1,1,1,7348.86,0,0,1,0,1,1
Ain Shams University,Bed,Male,93.3,1,1,2,2550.18,1,0,0,0,0,0
Alexandria University,Room,Female,186.9,3,2,5,3601.47,1,0,1,1,1,0
Helwan University,Bed,Male,99.0,1,1,1,6106.73,1,1,1,1,1,1
Alexandria University,Room,Male,115.4,4,2,8,1893.09,0,0,0,0,0,0
Helwan University,EntireUnit,Female,138.6,2,2,4,7438.37,0,1,1,0,1,1
Suez Canal University,EntireUnit,Female,152.1,3,1,3,5779.0,0,0,0,0,0,0
Tanta University,Room,Male,107.7,4,2,6,1106.98,0,0,0,0,0,0
Helwan University,Bed,Male,67.9,1,1,1,4298.04,1,1,0,1,0,1
Assiut University,Bed,Female,97.9,3,1,3,1486.92,1,0,1,0,0,0
Tanta University,EntireUnit,Female,79.9,1,1,2,3808.85,0,1,0,0,0,1
GUC,Room,Female,165.3,1,1,2,15057.67,1,1,1,1,1,1
Assiut University,Bed,Female,126.8,3,2,5,1141.4,0,1,1,0,1,1
AUC,Bed,Male,50.8,2,1,3,2333.15,1,1,1,0,1,1
Minia University,Room,Male,64.7,2,2,4,1482.95,1,0,1,0,1,1
Mansoura University,Bed,Male,93.0,2,1,2,2684.76,0,1,0,1,0,0
Helwan University,Bed,Female,178.6,2,2,4,2459.99,1,1,1,1,1,1
Assiut University,EntireUnit,Male,154.6,3,2,4,5761.94,0,0,0,1,1,0
Tanta University,Bed,Male,109.2,2,1,2,2481.73,0,1,0,0,0,0
Ain Shams University,Bed,Male,176.5,3,2,5,2384.84,0,1,0,0,0,0
Fayoum University,Bed,Male,178.2,4,2,5,1312.94,1,0,1,1,0,1
Benha University,EntireUnit,Female,84.2,2,1,2,3200.19,0,0,0,0,1,0
Mansoura University,Room,Male,27.6,1,1,2,1302.08,0,0,0,0,0,1
AUC,Bed,Female,189.1,3,2,6,3167.87,1,0,1,1,1,0
Helwan University,Bed,Female,149.9,2,1,2,3950.44,1,0,1,1,0,0
Helwan University,Bed,Female,121.6,4,2,4,1752.2,1,1,1,1,1,1
Assiut University,Bed,Male,60.8,2,1,3,753.68,0,0,0,0,0,0
Fayoum University,EntireUnit,Female,70.8,1,1,2,4582.47,0,1,1,1,1,1
Assiut University,Bed,Female,58.2,2,2,4,571.12,0,0,0,0,0,1
Ain Shams University,Room,Female,191.7,2,1,2,6244.08,1,0,1,1,0,1
Cairo University,Room,Female,90.7,1,1,1,6516.13,1,1,1,1,1,1
Cairo University,Room,Female,145.4,1,1,2,9343.24,0,1,0,0,0,1
