id,title,price,nearest_university,bedrooms,area_sqm,amenities
1,Apartment 1,8734,Cairo University,3,116,"[""Parking"", ""Security"", ""Elevator""]"
2,Apartment 2,8943,Cairo University,1,87,"[""WiFi"", ""AC"", ""Balcony""]"
3,Apartment 3,8966,Ain Shams University,1,150,"[""WiFi"", ""Security""]"
4,Apartment 4,4617,Cairo University,3,85,"[""Natural Gas"", ""AC"", ""Security""]"
5,Apartment 5,3314,GUC,2,71,"[""Washing Machine"", ""AC"", ""Elevator"", ""WiFi"", ""Natural Gas""]"
6,Apartment 6,8960,Ain Shams University,3,76,"[""WiFi"", ""Elevator"", ""Security"", ""AC"", ""Washing Machine""]"
7,Apartment 7,3829,AUC,2,121,"[""Elevator"", ""Balcony""]"
8,Apartment 8,4746,Helwan University,3,63,"[""WiFi"", ""AC"", ""Security""]"
9,Apartment 9,6558,Cairo University,1,115,"[""Parking"", ""AC"", ""Natural Gas"", ""Balcony"", ""WiFi""]"
10,Apartment 10,7347,Helwan University,1,106,"[""Elevator"", ""AC""]"
11,Apartment 11,7468,Ain Shams University,1,67,"[""Security"", ""Elevator"", ""AC"", ""Parking""]"
12,Apartment 12,7079,Ain Shams University,1,78,"[""Balcony"", ""Elevator"", ""Washing Machine""]"
13,Apartment 13,5394,Helwan University,3,115,"[""Balcony"", ""Parking"", ""Washing Machine"", ""Natural Gas"", ""Security""]"
14,Apartment 14,4426,AUC,3,95,"[""Security"", ""AC""]"
15,Apartment 15,4204,Cairo University,1,73,"[""Parking"", ""Balcony"", ""AC"", ""Washing Machine"", ""WiFi""]"
16,Apartment 16,9068,Ain Shams University,2,73,"[""Balcony"", ""AC""]"
17,Apartment 17,4067,Helwan University,3,101,"[""Natural Gas"", ""Balcony"", ""Parking"", ""Elevator"", ""AC""]"
18,Apartment 18,4967,Helwan University,3,125,"[""WiFi"", ""Parking"", ""AC""]"
19,Apartment 19,8027,AUC,1,75,"[""AC"", ""Security"", ""Natural Gas""]"
20,Apartment 20,4253,GUC,3,92,"[""Washing Machine"", ""Balcony""]"
21,Apartment 21,3918,Helwan University,1,96,"[""Security"", ""Natural Gas""]"
22,Apartment 22,7817,GUC,3,74,"[""WiFi"", ""Security"", ""Elevator""]"
23,Apartment 23,8619,GUC,3,116,"[""Natural Gas"", ""Elevator""]"
24,Apartment 24,8470,Ain Shams University,3,53,"[""AC"", ""WiFi"", ""Washing Machine""]"
25,Apartment 25,3488,AUC,2,53,"[""Elevator"", ""Parking"", ""AC"", ""Washing Machine"", ""WiFi""]"
26,Apartment 26,4286,Cairo University,2,85,"[""Balcony"", ""Parking""]"
27,Apartment 27,5238,Ain Shams University,3,79,"[""Natural Gas"", ""Security"", ""WiFi"", ""Elevator"", ""Washing Machine""]"
28,Apartment 28,9972,GUC,2,120,"[""AC"", ""Washing Machine"", ""Security""]"
29,Apartment 29,6354,Helwan University,3,72,"[""Balcony"", ""WiFi""]"
30,Apartment 30,9585,AUC,2,112,"[""Natural Gas"", ""WiFi"", ""Parking"", ""Elevator""]"
31,Apartment 31,6799,GUC,3,96,"[""Natural Gas"", ""AC"", ""Security""]"
32,Apartment 32,9655,Cairo University,3,125,"[""Parking"", ""Washing Machine"", ""Natural Gas"", ""Security"", ""Elevator""]"
33,Apartment 33,7428,Cairo University,1,103,"[""Elevator"", ""Balcony"", ""WiFi"", ""Natural Gas""]"
34,Apartment 34,8348,AUC,1,127,"[""Security"", ""Natural Gas"", ""Washing Machine"", ""Parking""]"
35,Apartment 35,9290,AUC,1,117,"[""Natural Gas"", ""Security"", ""Elevator"", ""Balcony"", ""AC""]"
36,Apartment 36,2544,Cairo University,3,52,"[""AC"", ""Elevator""]"
37,Apartment 37,5663,Cairo University,2,76,"[""WiFi"", ""AC""]"
38,Apartment 38,7991,GUC,3,108,"[""Elevator"", ""Washing Machine""]"
39,Apartment 39,3410,Ain Shams University,1,135,"[""Natural Gas"", ""Washing Machine"", ""Parking"", ""Balcony""]"
40,Apartment 40,8969,AUC,1,100,"[""Security"", ""Balcony"", ""Natural Gas"", ""Parking"", ""AC""]"
41,Apartment 41,5544,Helwan University,1,113,"[""Balcony"", ""WiFi"", ""Washing Machine"", ""AC""]"
42,Apartment 42,9290,Helwan University,2,103,"[""Balcony"", ""WiFi"", ""Natural Gas"", ""AC"", ""Elevator""]"
43,Apartment 43,7207,Ain Shams University,2,52,"[""Parking"", ""Elevator"", ""AC""]"
44,Apartment 44,9220,Cairo University,1,133,"[""Balcony"", ""Washing Machine""]"
45,Apartment 45,2916,Cairo University,1,73,"[""Natural Gas"", ""Parking""]"
46,Apartment 46,4602,GUC,3,131,"[""Security"", ""Elevator"", ""AC"", ""Parking"", ""Washing Machine""]"
47,Apartment 47,8811,Cairo University,1,50,"[""WiFi"", ""AC""]"
